19	100	19216800000203	1541873415000	608,408,308,108	10916.00000,10812.00000,10264.00000,9819.20000	316.00000,212.00000,760.00000,157.60000	1.04923,1.03962,0.99446,0.97018	0.01077,0.02038,0.02477,0.00024	1000.00000,785.71429,452.38095,-1	0.00000,214.28571,119.04762,143.08611	170.83765,173.99099,189.29331,199.17901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107.00000,106.00000,101.00000,97.60000	1.00000,0.00000,5.00000,0.80000	102.00000,102.00000,101.50000,100.60000	2.00000,2.00000,2.50000,0.80000		
20	1	19216800000203	1541873424000	205,204,304,305,304,404	11536.00000,12276.25000,13905.50000,13615.00000,13642.00000,14166.66667	56.00000,1068.00851,199.50000,91.00000,118.00000,356.46162	0.59720,0.56536,0.58251,0.54983,0.52962,0.53871	0.01149,0.02169,0.00459,0.02809,0.00788,0.03211	252.42718,108.37468,85.36075,138.63798,151.17933,131.94479	0.00000,87.30453,22.42368,30.85355,18.31220,16.01296	355.23636,357.70939,5.71059,353.65981,340.34618,0.00000	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	83.00000,83.25000,90.00000,86.50000,85.00000,87.33333	1.00000,4.54835,1.00000,2.50000,1.00000,3.39935	139.00000,147.25000,154.50000,157.50000,160.50000,162.33333	1.00000,5.49432,0.50000,3.50000,0.50000,4.02768		
21	100	19216800000203	1541873424000	302	1207.50000	63.09715	0.98571	0.05151	145.72957	25.56131	352.74681	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	34.50000	1.80278	35.00000	0.00000		
17	8	19216800000202	1541873428500	103	1530.00000	0.00000	0.75556	0.00000	-1	0.00000	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.00000	0.00000	45.00000	0.00000		
16	100	19216800000202	1541873428500	103	2593.50000	313.50000	0.79825	0.09649	71.42857	0.00000	9.46232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.50000	5.50000	57.00000	0.00000		
20	1	19216800000203	1541873428500	1104,1204	14328.00000,11560.37500	808.00000,1882.83071	0.49250,0.38980	0.01913,0.06747	126.98413,-1	0.00000,40.07835	3.36646,12.52881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.00000,67.12500	4.00000,11.26319	170.50000,172.37500	1.50000,1.79844		
21	100	19216800000203	1541873428500	1202	936.66667	164.20583	0.85102	0.11958	40.91970	54.36324	14.03624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.22222	4.39135	33.11111	0.87489		
20	8	19216800000202	1541873430000	403	1157.50000	30.37680	0.85736	0.02861	76.97841	69.62134	156.03751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.50000	0.86603	36.75000	0.43301		
19	100	19216800000202	1541873430000	403	3708.66667	175.43343	0.78630	0.03055	106.71795	72.95161	149.53446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.00000	2.30940	68.66667	0.47140		
21	1	19216800000202	1541873434500	808,708	34027.00000,28281.00000	3409.00000,2337.00000	0.94166,0.79559	0.08452,0.06155	401.63934,364.08498	0.00000,37.55437	172.05653,176.18593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179.00000,150.00000	17.00000,12.00000	190.00000,188.50000	1.00000,0.50000		
22	100	19216800000202	1541873434500	907,807	7200.00000,8320.00000	240.00000,880.00000	0.88988,0.89011	0.02966,0.02989	565.57377,452.85491	0.00000,112.71886	173.55840,177.61406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80.00000,86.00000	0.00000,6.00000	90.00000,96.50000	3.00000,3.50000		
